run_id,feature_set,features,imputation,algorithm,k,rows_used,silhouette,davies_bouldin,calinski_harabasz,inertia,cluster_min,cluster_max,cluster_smallest_share,spearman,purity,nmi,silhouette_norm,db_norm,spearman_norm,purity_norm,nmi_norm,final_score
23,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,kmeans,7,1700,0.29668252940020695,1.3281974188960823,291.7294401232003,10030.03841966756,30,700,0.01764705882352941,0.2377539132908103,0.44963079130856587,0.037521209214051894,0.29668252940020695,0.42951684074718677,0.6188769566454051,0.44963079130856587,0.037521209214051894,0.3717563183769731
21,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,kmeans,5,1700,0.3003387687881303,1.3076841439785616,329.5663293955263,11475.259014943287,52,777,0.03058823529411765,0.1906294630884429,0.45127891160652245,0.029143702712593075,0.3003387687881303,0.43333486630278206,0.5953147315442214,0.45127891160652245,0.029143702712593075,0.3678949423537071
20,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,kmeans,4,1700,0.29511589733087357,1.2957030605800959,358.32428473496867,12486.011888386962,54,829,0.03176470588235294,0.16443631914470044,0.4653529566131968,0.0279929342602324,0.29511589733087357,0.4355964049406774,0.5822181595723502,0.4653529566131968,0.0279929342602324,0.366099565732882
22,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,kmeans,6,1700,0.3027062841055995,1.326731661558095,316.0461528177808,10554.41796559385,52,712,0.03058823529411765,0.1861618232680419,0.42633321365508264,0.028888995253824,0.3027062841055995,0.4297874209225959,0.593080911634021,0.42633321365508264,0.028888995253824,0.36366888307933926
54,observed,"region_code,settlement_type_code,enterprise_type_code,building_floors,fire_floor,year,month,distance_to_station",impute,kmeans,2,2031,0.37209182605225705,1.3068807013693136,334.8485817135942,13946.40598176618,244,1787,0.12013786312161497,0.10341402932165568,0.30475565789352976,0.00901183497499323,0.37209182605225705,0.4334857885830083,0.5517070146608278,0.30475565789352976,0.00901183497499323,0.35573123239472276
19,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,kmeans,3,1700,0.2887620135680888,1.2981088368160043,416.7188261724885,13680.95355675667,54,854,0.03176470588235294,0.06555524668950136,0.3733463965704403,0.008697572596731115,0.2887620135680888,0.43514040065460313,0.5327776233447507,0.3733463965704403,0.008697572596731115,0.3375188042453731
198,observed_outputs,"region_code,settlement_type_code,enterprise_type_code,building_floors,fire_floor,year,month,distance_to_station,direct_damage_log,severity_score",impute,kmeans,2,2031,0.3308030614226644,1.9021987918824586,262.4895242933069,17983.494824271034,364,1667,0.1792220580994584,0.14356191132179058,0.3155179403679704,0.013551474735596696,0.3308030614226644,0.34456633460017677,0.5717809556608953,0.3155179403679704,0.013551474735596696,0.3318707887445488
30,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,agglo,5,1700,0.2557245473419093,1.553245179320411,275.52092855225004,,50,735,0.029411764705882353,0.13156596172026738,0.39955239469525183,0.022635556954403054,0.2557245473419093,0.39165843065105355,0.5657829808601337,0.39955239469525183,0.022635556954403054,0.33153383925225843
29,managed,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station",impute,agglo,4,1700,0.24611995939739092,1.5419741421062054,279.87557802390086,,50,780,0.029411764705882353,0.13342265277873488,0.40573419966277113,0.019514588073511765,0.24611995939739092,0.39339503240242607,0.5667113263893675,0.40573419966277113,0.019514588073511765,0.3296445777380185
235,managed_outputs,"fire_protection_code,equipment_count,nozzle_count,extinguishing_agents_code,initial_means_code,alarm_type_code,t_report_min,t_arrival_min,t_first_hose_min,t_contained_min,t_extinguished_min,distance_to_station,direct_damage_log,severity_score",impute,kmeans,3,1700,0.2603889939004699,1.4043750097980474,335.22380760224,17059.97621261477,54,850,0.03176470588235294,0.07148557886911411,0.37498874182094205,0.008919801944372266,0.2603889939004699,0.4159084984351063,0.535742789434557,0.37498874182094205,0.008919801944372266,0.32603323730887074
